# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = stan_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = .input.data.R
# init = 2 (Default)
# random
#   seed = 1460155656
# output
#   file = stan_out_sampling1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha,delta,dx,t.1,t.2,t.3,t.4,t.5,t.6,t.7,t.8,t.9,t.10,t.11,t.12,t.13,t.14,t.15,t.16,t.17,t.18,t.19,t.20,t.21,t.22,t.23,t.24,t.25,t.26,t.27,t.28,t.29,t.30,t.31,t.32,t.33,t.34,t.35,t.36,t.37,t.38,t.39,t.40,t.41,t.42,t.43,t.44,t.45,t.46,t.47,t.48,t.49,t.50,t.51,t.52,t.53,t.54,t.55,t.56,t.57,t.58,t.59,t.60,t.61,t.62,t.63,t.64,t.65,t.66,t.67,t.68,t.69,t.70,t.71,t.72,t.73,t.74,t.75,t.76,t.77,t.78,t.79,t.80,t.81,t.82,t.83,t.84,t.85,t.86,t.87,t.88,t.89,t.90,t.91,t.92,t.93,t.94,t.95,t.96,t.97,t.98,t.99,t.100
# Adaptation terminated
# Step size = 0.448786
# Diagonal elements of inverse mass matrix:
# 0.340942, 0.0218207, 0.0160981

51.2404,0.982982,0.448786,4,15,0,1.01251,0.0558371,0.0676544,0.319724,0.444172,0.551756,0.63572,0.691568,0.717309,0.713377,0.682319,0.62841,0.557322,0.475929,0.392214,0.315169,0.254513,0.220095,0.220884,0.263645,0.351492,0.482649,0.649757,0.840027,1.03635,1.21927,1.36961,1.47119,1.51323,1.49195,1.41115,1.28152,1.11902,0.942503,0.771049,0.621504,0.506492,0.433218,0.403119,0.412301,0.452591,0.512954,0.581032,0.644568,0.692566,0.716099,0.708768,0.666855,0.589283,0.477455,0.335067,0.167912,-0.0163248,-0.208353,-0.397694,-0.573308,-0.724432,-0.841593,-0.917684,-0.948955,-0.935735,-0.882739,-0.798858,-0.696412,-0.589942,-0.494665,-0.424809,-0.39202,-0.404049,-0.463866,-0.569313,-0.713313,-0.8846,-1.0689,-1.25038,-1.41326,-1.54333,-1.62927,-1.66359,-1.64322,-1.56956,-1.4482,-1.28831,-1.10181,-0.902471,-0.70487,-0.523397,-0.371198,-0.259103,-0.194564,-0.180704,-0.215597,-0.291976,-0.397523,-0.515855,-0.628184,-0.715512,-0.761068,-0.752606,-0.684181,-0.55706,-0.379596,-0.166064
50.1766,0.891924,0.448786,3,7,0,1.32699,0.0679812,0.0618402,0.298856,0.442439,0.562978,0.651892,0.704999,0.722647,0.708922,0.670208,0.613623,0.545821,0.472516,0.398817,0.330111,0.273011,0.235817,0.228047,0.258961,0.33531,0.458926,0.624882,0.820884,1.02826,1.22446,1.38668,1.49562,1.53884,1.51266,1.42258,1.28199,1.10965,0.92656,0.752852,0.605193,0.495085,0.428126,0.404154,0.418059,0.461012,0.521875,0.588609,0.649527,0.694308,0.714705,0.704933,0.661762,0.584393,0.474215,0.33457,0.170583,-0.010913,-0.201445,-0.391071,-0.568819,-0.723469,-0.844678,-0.924312,-0.957738,-0.944807,-0.890275,-0.803532,-0.697653,-0.587929,-0.49011,-0.418643,-0.385127,-0.397139,-0.457506,-0.564046,-0.709748,-0.883391,-1.07056,-1.255,-1.42028,-1.55145,-1.63667,-1.66844,-1.64424,-1.56659,-1.44239,-1.28191,-1.09749,-0.902389,-0.70978,-0.532159,-0.380905,-0.26587,-0.194805,-0.172479,-0.199592,-0.271702,-0.378576,-0.504363,-0.628856,-0.729869,-0.786432,-0.782226,-0.708547,-0.566113,-0.365261,-0.124443
50.6236,0.975442,0.448786,3,7,0,0.647318,0.0783406,0.0589277,0.327539,0.447742,0.552779,0.634179,0.686517,0.707942,0.699956,0.666614,0.613462,0.546608,0.472222,0.39656,0.326379,0.269384,0.234306,0.230289,0.265518,0.345306,0.47013,0.634214,0.8252,1.02518,1.21305,1.36768,1.47137,1.51271,1.48834,1.40327,1.26976,1.10512,0.928937,0.760239,0.615107,0.505018,0.436023,0.40871,0.418807,0.458229,0.516353,0.581379,0.641594,0.68646,0.70741,0.698339,0.655779,0.578829,0.468934,0.329617,0.166259,-0.0140653,-0.202728,-0.389791,-0.564467,-0.715884,-0.834148,-0.91159,-0.943962,-0.931339,-0.878492,-0.794617,-0.692418,-0.586699,-0.492691,-0.424355,-0.392897,-0.405625,-0.465248,-0.569623,-0.711946,-0.881363,-1.06396,-1.24408,-1.40585,-1.5348,-1.61935,-1.65193,-1.62969,-1.55459,-1.43292,-1.27444,-1.0913,-0.896914,-0.704972,-0.528643,-0.379879,-0.268731,-0.202551,-0.185075,-0.215493,-0.287754,-0.390416,-0.507341,-0.619327,-0.706608,-0.751812,-0.742838,-0.675009,-0.552004,-0.385307,-0.192251
51.276,0.999292,0.448786,2,3,0,0.690895,0.0739368,0.0615724,0.33064,0.448181,0.551084,0.631666,0.684778,0.708244,0.702759,0.671375,0.618803,0.550797,0.473799,0.394891,0.321928,0.263607,0.229189,0.227697,0.266568,0.349992,0.477323,0.642035,0.83163,1.0287,1.21309,1.36476,1.46686,1.50835,1.48568,1.40323,1.27244,1.10986,0.934608,0.765631,0.619265,0.507447,0.436716,0.408034,0.417322,0.456506,0.514864,0.580447,0.641412,0.687111,0.708879,0.700499,0.658366,0.581446,0.471094,0.330855,0.166263,-0.0153362,-0.205,-0.392532,-0.567037,-0.717729,-0.834977,-0.911451,-0.943208,-0.930482,-0.878017,-0.794818,-0.693324,-0.588114,-0.494307,-0.425899,-0.394234,-0.406787,-0.466374,-0.570855,-0.713329,-0.882805,-1.06527,-1.24508,-1.4065,-1.53527,-1.61999,-1.6532,-1.63192,-1.55782,-1.43681,-1.27829,-1.09428,-0.8983,-0.704474,-0.526558,-0.377067,-0.26638,-0.201792,-0.18658,-0.21919,-0.292787,-0.395389,-0.51077,-0.620175,-0.704688,-0.747921,-0.738527,-0.672054,-0.551716,-0.387908,-0.196527
50.2234,0.936565,0.448786,2,3,0,0.805173,0.0758834,0.0573534,0.310363,0.444632,0.560013,0.646602,0.69885,0.716121,0.702097,0.663302,0.607262,0.540969,0.470135,0.399435,0.333517,0.278226,0.241357,0.232399,0.26106,0.33484,0.456323,0.62104,0.816707,1.02424,1.22049,1.38212,1.48969,1.53102,1.50312,1.41224,1.27229,1.10213,0.922357,0.752308,0.607748,0.499467,0.432761,0.40764,0.419527,0.460274,0.519325,0.584948,0.645442,0.690226,0.710714,0.70088,0.657465,0.579855,0.46975,0.330761,0.168106,-0.0115312,-0.200021,-0.387831,-0.564294,-0.718286,-0.839336,-0.919047,-0.952545,-0.939594,-0.885068,-0.798621,-0.693599,-0.585402,-0.489631,-0.420327,-0.388544,-0.401352,-0.461295,-0.56623,-0.709503,-0.88045,-1.06523,-1.24801,-1.41247,-1.54355,-1.62905,-1.66111,-1.63696,-1.55911,-1.43469,-1.27433,-1.09072,-0.89725,-0.707018,-0.532162,-0.38356,-0.270577,-0.20062,-0.178343,-0.204522,-0.274886,-0.379347,-0.502115,-0.623024,-0.720099,-0.773001,-0.76667,-0.694308,-0.558952,-0.373174,-0.156922
