# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = stan_model_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 0 (Default)
# data
#   file = .input.data.R
# init = 2 (Default)
# random
#   seed = 1460203626
# output
#   file = stan_out_variational.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,alpha,delta,dx,t.1,t.2,t.3,t.4,t.5,t.6,t.7,t.8,t.9,t.10,t.11,t.12,t.13,t.14,t.15,t.16,t.17,t.18,t.19,t.20,t.21,t.22,t.23,t.24,t.25,t.26,t.27,t.28,t.29,t.30,t.31,t.32,t.33,t.34,t.35,t.36,t.37,t.38,t.39,t.40,t.41,t.42,t.43,t.44,t.45,t.46,t.47,t.48,t.49,t.50,t.51,t.52,t.53,t.54,t.55,t.56,t.57,t.58,t.59,t.60,t.61,t.62,t.63,t.64,t.65,t.66,t.67,t.68,t.69,t.70,t.71,t.72,t.73,t.74,t.75,t.76,t.77,t.78,t.79,t.80,t.81,t.82,t.83,t.84,t.85,t.86,t.87,t.88,t.89,t.90,t.91,t.92,t.93,t.94,t.95,t.96,t.97,t.98,t.99,t.100
# Stepsize adaptation complete.
# eta = 1
0,1.06846,0.0631394,0.0640782,0.313226,0.444172,0.55606,0.641363,0.695685,0.717975,0.710136,0.676256,0.621725,0.552546,0.475028,0.395877,0.322514,0.263317,0.227477,0.224223,0.261435,0.343856,0.471346,0.63768,0.830354,1.03161,1.22066,1.37665,1.48192,1.52483,1.50154,1.41651,1.28165,1.11425,0.934277,0.761452,0.612676,0.500121,0.430224,0.403569,0.415531,0.45746,0.518159,0.585387,0.647214,0.693093,0.714577,0.705693,0.663037,0.58567,0.474937,0.334276,0.169071,-0.0134701,-0.204482,-0.393751,-0.570267,-0.723042,-0.842188,-0.920104,-0.952606,-0.939764,-0.886258,-0.801162,-0.697115,-0.589007,-0.492348,-0.42154,-0.388292,-0.400331,-0.460574,-0.566803,-0.711874,-0.884426,-1.07002,-1.2526,-1.41611,-1.5461,-1.63118,-1.664,-1.64184,-1.56663,-1.44449,-1.28495,-1.09996,-0.902896,-0.707637,-0.527732,-0.375631,-0.261878,-0.194208,-0.176574,-0.208222,-0.283045,-0.389484,-0.511207,-0.628672,-0.721463,-0.771098,-0.763832,-0.692904,-0.559769,-0.374026,-0.152017
0,1.87419,0.0910706,0.062134,0.297444,0.442178,0.5634,0.652606,0.705729,0.723245,0.709338,0.670462,0.613762,0.545889,0.472541,0.398806,0.330061,0.272917,0.235679,0.227874,0.258771,0.335124,0.458772,0.624792,0.820893,1.0284,1.22478,1.38718,1.49629,1.53962,1.51348,1.42334,1.28258,1.10999,0.92663,0.752675,0.604846,0.494673,0.427756,0.40391,0.417983,0.461101,0.522092,0.588898,0.649836,0.6946,0.714969,0.705176,0.661998,0.584633,0.474456,0.334792,0.170756,-0.0108199,-0.201454,-0.39119,-0.569041,-0.723777,-0.845051,-0.924728,-0.958176,-0.945246,-0.890686,-0.80388,-0.6979,-0.588039,-0.490065,-0.418448,-0.384819,-0.39678,-0.457175,-0.563818,-0.709684,-0.883518,-1.07087,-1.25547,-1.42084,-1.55205,-1.63726,-1.66898,-1.64472,-1.56701,-1.44277,-1.28225,-1.09781,-0.902668,-0.709998,-0.532285,-0.380904,-0.265713,-0.194476,-0.171994,-0.199002,-0.271104,-0.378113,-0.504202,-0.629154,-0.730723,-0.787812,-0.783919,-0.710116,-0.566896,-0.36442,-0.121059
0,1.85031,0.0548817,0.0647232,0.283623,0.439857,0.567742,0.659577,0.712507,0.728312,0.712291,0.671646,0.613861,0.545573,0.472255,0.398706,0.330059,0.2728,0.235224,0.226944,0.257361,0.333382,0.456982,0.623349,0.820255,1.02901,1.22698,1.39109,1.50174,1.5461,1.5202,1.42938,1.28708,1.11235,0.926672,0.75071,0.601576,0.491017,0.424614,0.401951,0.41751,0.462029,0.524041,0.591353,0.652324,0.696818,0.716831,0.706776,0.663514,0.586208,0.476117,0.336423,0.172132,-0.00995703,-0.201313,-0.391877,-0.570544,-0.725994,-0.84783,-0.927905,-0.961581,-0.948686,-0.893923,-0.80662,-0.699821,-0.588856,-0.489616,-0.416776,-0.382206,-0.393725,-0.454309,-0.561772,-0.708954,-0.884364,-1.07326,-1.25912,-1.42529,-1.55676,-1.64177,-1.67298,-1.64807,-1.56975,-1.44506,-1.28431,-1.09981,-0.904657,-0.71188,-0.533794,-0.381635,-0.265213,-0.192373,-0.168159,-0.193722,-0.265198,-0.372935,-0.501478,-0.630612,-0.73754,-0.799956,-0.799527,-0.725083,-0.574832,-0.357085,-0.0892764
0,0.624297,0.0655792,0.0599749,0.325002,0.447206,0.553541,0.635712,0.688488,0.710159,0.702282,0.668892,0.615481,0.548126,0.473026,0.396547,0.325605,0.268071,0.232787,0.228925,0.264601,0.345001,0.470459,0.635094,0.826509,1.02683,1.21501,1.36999,1.47407,1.51577,1.49163,1.40654,1.27267,1.10736,0.930276,0.760618,0.614653,0.504013,0.434827,0.407674,0.418196,0.458175,0.516864,0.582367,0.642933,0.688026,0.70911,0.700105,0.65755,0.580526,0.470444,0.330801,0.166979,-0.0139113,-0.203177,-0.390804,-0.565945,-0.717695,-0.836164,-0.913703,-0.946086,-0.933394,-0.880383,-0.79622,-0.693593,-0.587325,-0.492707,-0.423803,-0.391932,-0.4045,-0.464267,-0.569074,-0.71204,-0.882195,-1.06551,-1.24622,-1.40843,-1.53766,-1.62236,-1.65502,-1.6328,-1.55766,-1.43584,-1.27707,-1.09343,-0.898362,-0.705596,-0.528406,-0.37887,-0.26716,-0.200711,-0.183298,-0.214098,-0.287014,-0.390546,-0.508488,-0.621559,-0.709867,-0.755843,-0.747093,-0.678568,-0.553546,-0.383177,-0.184637
0,0.51439,0.0578085,0.0565496,0.315429,0.445435,0.557996,0.643189,0.695212,0.713029,0.699892,0.66196,0.606532,0.540532,0.469742,0.398989,0.333085,0.277989,0.241523,0.2331,0.262277,0.336373,0.457808,0.622023,0.81674,1.02299,1.21783,1.37815,1.48477,1.52571,1.49803,1.40794,1.26922,1.10049,0.922087,0.75312,0.609211,0.501104,0.434149,0.408481,0.41968,0.459747,0.518235,0.583467,0.643743,0.688447,0.708941,0.69915,0.655789,0.57825,0.468258,0.329466,0.167129,-0.0120558,-0.199974,-0.387133,-0.56293,-0.716305,-0.836851,-0.916223,-0.949585,-0.936724,-0.882518,-0.796604,-0.692279,-0.584868,-0.489874,-0.421232,-0.389897,-0.402867,-0.462651,-0.567116,-0.709659,-0.879703,-1.06352,-1.24539,-1.40912,-1.5397,-1.625,-1.65712,-1.63327,-1.55587,-1.43196,-1.27209,-1.08892,-0.89585,-0.706023,-0.531642,-0.383637,-0.271379,-0.202205,-0.180619,-0.207181,-0.277391,-0.380989,-0.502146,-0.620856,-0.715537,-0.766454,-0.759286,-0.687985,-0.556178,-0.376716,-0.169398
0,0.710433,0.0820367,0.0677767,0.346725,0.452145,0.546401,0.622951,0.676511,0.70356,0.702681,0.674725,0.622839,0.552366,0.470634,0.386617,0.310418,0.25254,0.222935,0.229865,0.278701,0.370832,0.502915,0.66666,0.849306,1.03481,1.20562,1.34489,1.43863,1.47764,1.45873,1.38518,1.26623,1.11576,0.950418,0.787405,0.642362,0.527566,0.450716,0.414388,0.416175,0.449393,0.504207,0.568961,0.631533,0.680546,0.706337,0.70163,0.661926,0.58564,0.474056,0.331135,0.163235,-0.0212734,-0.212485,-0.399569,-0.571506,-0.717957,-0.830198,-0.90204,-0.930612,-0.916893,-0.865866,-0.786245,-0.689763,-0.590061,-0.501323,-0.436785,-0.407312,-0.420202,-0.478366,-0.579969,-0.718568,-0.883734,-1.06207,-1.23854,-1.39789,-1.52613,-1.61181,-1.64706,-1.62823,-1.55619,-1.43619,-1.27739,-1.09204,-0.894477,-0.6999,-0.523099,-0.377145,-0.272162,-0.214293,-0.20495,-0.240494,-0.312427,-0.408149,-0.512259,-0.608273,-0.680583,-0.716366,-0.707183,-0.65,-0.547484,-0.407503,-0.241941
0,0.975538,0.0631781,0.0723401,0.332568,0.446624,0.547627,0.62911,0.685906,0.71461,0.713911,0.684794,0.630605,0.556998,0.471729,0.384275,0.305245,0.245561,0.21541,0.223069,0.273699,0.368323,0.503163,0.669535,0.854397,1.04158,1.21357,1.35359,1.44779,1.48701,1.46807,1.39414,1.27434,1.12247,0.955174,0.789792,0.64221,0.525039,0.44633,0.408957,0.410697,0.444899,0.501599,0.568877,0.634255,0.685963,0.713965,0.710692,0.671459,0.594631,0.481573,0.336443,0.165875,-0.0214485,-0.215323,-0.40467,-0.578309,-0.725826,-0.838504,-0.910217,-0.93819,-0.923494,-0.8712,-0.790098,-0.691993,-0.590617,-0.500267,-0.434317,-0.403781,-0.416098,-0.474289,-0.576569,-0.716483,-0.883522,-1.06415,-1.24315,-1.40505,-1.53565,-1.62327,-1.65983,-1.6415,-1.56905,-1.44768,-1.28662,-1.09829,-0.897293,-0.699175,-0.519094,-0.370474,-0.263738,-0.205241,-0.196512,-0.233933,-0.30893,-0.408717,-0.517565,-0.618482,-0.695124,-0.733693,-0.724566,-0.663428,-0.551733,-0.396428,-0.208995
0,1.17681,0.090669,0.0664813,0.329839,0.446947,0.549561,0.630832,0.685866,0.712089,0.709302,0.679503,0.626601,0.556134,0.475045,0.391526,0.31481,0.254797,0.221365,0.223348,0.267232,0.355784,0.486909,0.653061,0.841458,1.03521,1.21527,1.36298,1.46263,1.50382,1.48296,1.40378,1.27666,1.11712,0.943473,0.774342,0.626226,0.5116,0.437728,0.40628,0.413701,0.452185,0.511013,0.578032,0.641059,0.689041,0.712906,0.706069,0.664642,0.587435,0.475821,0.333546,0.166511,-0.0174709,-0.208999,-0.397544,-0.572092,-0.721987,-0.837928,-0.913011,-0.943683,-0.930418,-0.877994,-0.795263,-0.694412,-0.589759,-0.496259,-0.427873,-0.396022,-0.408313,-0.467682,-0.572046,-0.714499,-0.884014,-1.06657,-1.24658,-1.40841,-1.53792,-1.62375,-1.65832,-1.6384,-1.56522,-1.44428,-1.28474,-1.09862,-0.899815,-0.703079,-0.52292,-0.372484,-0.262437,-0.199896,-0.187513,-0.222858,-0.298246,-0.40117,-0.515403,-0.622723,-0.705092,-0.746996,-0.737567,-0.672125,-0.552854,-0.388477,-0.192971
